	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	1	0.15645	0	0.1043	0.1341	0	0.15645	0	0.4172	1	0	0	0	0	0.9387	0	0	0	0	0.9387	1	0.6258	0.3129	0	0	0	0.391125	0.18774	0.4172	0	0.12516	0	0	0	0	1	0	0.0
(u'ey',)	0.130375	1	0	0.0651875	0	0	0	0.15645	0.0	1	0	0	0	0	0	0.78225	0.6258	1	0	0	0.26075	0.26075	0.347666666667	0	0	0	0	1	0	0.347666666667	0	0.26075	0	0	0	0.0	1	1	0.0
(u'f',)	0	0	0.026075	0.003725	0.026075	0.005215	0.1955625	0	0	0	0	0.3129	0.0	0	0	0	0	0.078225	0.0	0	0	0	0	0	0	0.391125	0	0	0.015645	0	0	0.05215	0	0	0.026075	0	0.67795	0	0
(u'g',)	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.8344	1	0.4172	0	0	0.4172	1	0	0.0	0.4172	1	0	0	1	0	0.3129	1	0.6258	0	0	1	0.973466666667	0.556266666667	1	0	0	0	0.695333333333	0.6258	0.2086	0	0.16688	0.0	0	0	0.0	1	1	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.46935	0.1026703125	0.05866875	0.09387	0.234675	0.0414132352941	0	0	0.0	0	0.4928175	0	0.0	0.2086	0.0	0	1	0.17600625	0.0	0	0	0.8213625	0	0.18774	0	1	0	0.391125	0.234675	0.06705	0	0.1173375	0	0	0	0	1	0	0
(u'l',)	0.04172	1	0	0.15645	0	0.09387	0.46935	0.234675	0	0.1788	1	0.4172	0.0	0.6258	0.0	0.9387	0.6258	0.18774	0.0	0	1	0	0	1	0	1	0	0.3129	0.3129	1	0.9387	0.3129	0	0.0	0.1043	0	1	0.695333333333	0.0
(u'm',)	0.217291666667	1	0.130375	0	0	0.391125	1	0.3259375	0	1	0	0.55875	0	0.401153846154	0.0	0.48890625	1	1	0.0	0.0	0	1	0	1	0	0	0	1	0	0.5215	0	0.217291666667	0	0	0.651875	0	1	0	0.0
(u'n',)	0.09387	1	0.05866875	0.46935	0.078225	0.029334375	1	0	0	0.0234675	0.328545	1	0.0	1	0.0	0.704025	0.56322	0.15645	0.0	0	0.704025	0	0.46935	0	0	0.320011363636	0	0	0	0.234675	0	0.01955625	0	0	0	0.0	1	1	0.0
(u'ng',)	0	0	0.1043	0	0.1043	0.0391125	0	0.3129	0	0	1	0	0.0	0.8344	0.0	0.0447	0	0	0	0	0.0329368421053	0	0	0	0	0	0	0.5215	0	0.4172	0	0.0347666666667	0	0	0	0	1	0	0.0
(u'ow',)	0	1	0	0	0	0.182525	1	0	0	0.7301	0.766605	0	0	1	0	0	1	0.36505	0	0	0.15645	0.182525	0	0.0811222222222	0	1	0	0.4563125	0	0	0	0.182525	0	0	0	0.0	1	0.7301	0.0
(u'p',)	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0
(u'r',)	0.12385625	0.86699375	0.12385625	0.495425	0.495425	0.078225	0.7431375	0	0.0	0.495425	1	1	0	1	0.0	0.37156875	1	0.330283333333	0.0	0	0.7431375	1	0.660566666667	0.495425	0	1	0	1	0.2477125	0.330283333333	0.7431375	0.330283333333	0	0	0.12385625	0	1	1	0.0
(u's',)	0.278133333333	0.7301	0.4172	0.1192	0	0.0463555555556	0.78225	0	0	0.556266666667	1	0.6258	0.0	1	0.0	0	1	1	0.0	0	0.25032	0.486733333333	0.8344	0	0	1	0	0.4172	0.4172	0.556266666667	0	0.04172	0	0	0	0	1	1	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0.2216375	0.517154166667	0.063325	0.295516666667	0.2216375	0.0265965	0.604465909091	0.33245625	0	0.136392307692	0.517154166667	1	0.0	0.394022222222	0.0	0.443275	0.483572727273	0.0985055555556	0	0	1	0.517154166667	0.443275	0.295516666667	0	1	0	0.55409375	0.265965	0.0492527777778	1	0.295516666667	0.0	0.0	0.11081875	0.0	1	1	0
(u'th',)	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.3129	1	0	0	0	0.9387	1	0.3129	0	0.4172	1	0	0	0	0.0	0.234675	0.75096	0.6258	0	0	0.46935	1	0.3129	1	0	0	0	0.26075	0.46935	0.2086	0.9387	0.3129	0.0	0	0	0.0	1	0.894	0.0
(u'v',)	0	0	0	0	0	0.0130375	0	0.078225	0	0	0.0421211538462	0.1043	0.0	0	0.0	0	0	0.05215	0.0	0	0	0	0.1043	0	0	0	0	0.0651875	0	0.05215	0	0.026075	0	0	0	0	0.67795	0.26075	0
(u'w',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'z',)	0.15645	1	0	0	0	0.06258	0	0.234675	0.0	0.25032	0.547575	0	0	0	0.0	0.46935	0.3129	0.46935	0	0	0.9387	1	0.6258	0.3129	0	1	0	1	0	0.6258	0.3129	0.12516	0.0	0	0	0.0	1	1	0
