Freq	Type
1	backwards
1	bags
1	barn
1	bobby
1	iguana
1	attention
1	upset
1	inside
1	uncovering
1	impressed
1	umbrella
1	excuse
1	excited
1	ahead
1	exactly
1	abcs
1	ounces
1	oughta
1	ordered
1	oranges
1	or
1	oven
1	uncles
1	avocado
1	apricots
1	auntie
1	am
1	ahhah
1	ah
