	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'ng',)	0.0843	0	0	0	0	0	0	0.29505	0	0.37935	0.843	0	0	0	0	0.01686	0	0	0	0	0.0175625	0	0	0.21075	0	0	0	0	0.12645	0	0	0.0281	0	0	0	0	0	0	0
(u'ow',)	0.281	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0.281	0.597125	0	0	0	0.100357142857	0.49175	0	0.117083333333	0	0	0	0.1405	0	0.843	1	0	0	0	0	0.0281	1	0	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0.0468333333333	0	0.0	0	0	0.187333333333	0.0936666666667	0	0	0	0	0.0	0	0.0468333333333	0	0	0	0.07025	0.0	0	0.175625	0.245875	0	0	0	0	0.1405	0	0.21075	0.843	0	0	0	0.0	0	0	1	0	0
(u'r',)	0.15455	0.3477375	0.0	0.077275	0.0	0.1124	0.15455	0.2704625	0	0.695475	0	0.0	0	0	0.46365	0	0	1	0.0	0	0.77275	0.540925	1	0.15455	0	0.77275	0	0	0	0.3091	1	0.0237769230769	0.0	0	0.46365	0	1	0.9273	0.0
(u's',)	0	0.63225	0.0	0.07025	0.0	0.0401428571429	0	0	0.0	0.63225	0.468333333333	0.0	0.0	0.07025	0.21075	0.1405	1	0.35125	0.0	0.0175625	0.0501785714286	0.245875	0.7025	0.35125	0	0.07025	0	0	0.21075	0.4215	0	0.007025	0	0	0	0	0.175625	0.63225	0
(u'sh',)	0	0	0	0	0	1	0	0.88515	0	0	0	0	0	0.2529	0.189675	0	0	1	0.0	0	0.63225	0	0	0	0	0	0	0.37935	0	0	0	0	0	0.0	0	0	0	1	0
(u't',)	0.121766666667	0.821925	0.0	0	0	0.0521857142857	0.3653	1	0	0.234835714286	0.91325	0	0.0	0.091325	0	0	1	0.2283125	0.0	0	0.304416666667	0	0.456625	0.91325	0	0.304416666667	0	0	0.18265	0.104371428571	1	0	0.0	0	0.0322323529412	0	0.608833333333	1	0
(u'th',)	0	0	0	0	0	0.1124	0	0.0245875	0	0.2529	0	0	0	0	0	0	0	0.0562	0	0	0	0	0	0	0	0	0	0.0281	0.021075	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0	0	0	0	0	0	0	0	0	0.7587	0	0	0	0	0	0.1686	0	0	0	0	0	0.09835	0	0.0843	0	0	0	0.12645	0	1	0.7587	0.0562	0.0	0	0	0.0843	0.187333333333	0.5058	0.0
(u'v',)	0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0
(u'w',)	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0	1	0.0	0	0	0.272971428571	0	0	0	1	0.4777	0.0	0	0	0.71655	0.23885	0	1	0.0	0	0.597125	0.835975	1	0.597125	0	0.2985625	0	0.71655	0.358275	1	1	0.23885	0	0	0	0.23885	1	0.85986	0
