	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'p',)	0.112	0.112	0.336	0.0	0	0.048	0	0.317333333333	0	0	0	0	0.0	0.0672	0	0	1	0.504	0.0	0	0	1	0	0	0	0	0	0.336	0	0	0	0	0	0.0	0.504	0	0	1	0
(u'r',)	0.084	0	0	0	0.0	0.252	0.006	0.357	0.0	0	1	0.336	0	0	0.0	0	0.504	0	0.0	0	0.14	0	0.504	0	0	0	0	0.336	0	0.588	0	0.084	0	0	0	0	1	0.532	0.0
(u's',)	0	0	0	0	0	0.018	0.028	0	0	0	1	0.168	0	0.0105	0.0	0.0	1	0.1008	0.0	0	0.28	0.084	0.504	0	0	0	0	0	0.0168	0.084	0	0.0336	0	0	0	0	0.0581538461538	0	0
(u'sh',)	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0168	0	0	0	0	0	0	0	0.1512	0	0	0	0	0	0	0	0.0252	0	0	0	0.0	0	0	0	0	0
(u't',)	0.4158	0.5544	0.2772	0.0	0.0	0.0924	0	1	0	1	1	1	0.0	0.5544	0	0	1	0.33264	0.0	0	0	0.8316	1	1	0	0	0.0	0	0	0.143733333333	0	0	0	0	0	0	1	1	0
(u'th',)	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.126	0	0	0	0	0	0	1	0	0.588	1	0	0	0	0	0.0	0.252	0.504	0	0	0.42	0.126	0	0	0	0.336	0	0.336	0	0.196	0.336	0	0	0	0	0.0	0.0581538461538	0.6384	0.0
(u'v',)	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0
(u'w',)	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0.0462	0	0	0	0	0.0693	0	0	0	0.6468	1	0	0	0.1848	0	0	0.7392	1	0	0	0.924	0	0.5544	0	0	0	0	0.7392	0	0	0	0.3696	0	0	0	0	1	1	0
