	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'dh',)	0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0	0.0	0	0	0	0.1126875	0.45075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045075	0	0.0045075	0	0	0	0	0.5409	0	0.0
(u'ey',)	0.27045	0	0	0	0	0	0.7437375	0.2569275	0.405675	0	0.676125	0	0	0	0	0	0	0	0	0	0.0772714285714	0	0	0.135225	0	0	0	0	0	0	0	0	0	0	0	0.0	0.81135	0	0
(u'f',)	0	0.09015	0.0	0.0525875	0	0	0	0	0	0	0.45075	0	0	0	0	0	0	0.050709375	0	0	0	0.315525	0	0	0	0.676125	0	0	0	0	0	0.0225375	0	0.0	0.0	0	0	0	0
(u'g',)	0.01202	0	0	0	0	0	0.440733333333	0	0	0	0	0.15025	0.0	0	0.0601	0	0	0.09015	0	0	0	0	0	0	0	0.225375	0	0	0.0601	0	0	0	0	0.0	0	0	0	1	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.601	0	0	0	0	0.0	0	1	0	0.500833333333	1	0	0	0	0	0.601	0	0	0	0	0	0.3005	0	0.00639361702128	0	0	0	0	0.601	0.225375	0	0.0214642857143	0	0	0	0.0	1	1	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0	0.0601	0.0	0	0	0.0	1	1	0.1803	0	0.15025	0	0	0.00546363636364	0	0.1202	0	0.0676125	0	0	0	0	0	0	0	0	0	0	0	0.0601	0.0	0.03005	0	0	0	0	0.1803	0	0
(u'l',)	0	0	0.0	0.21035	0.03005	0.0	0.0826375	0.190316666667	0	0.03005	0.3005	0.05634375	0	0.03005	0	0.0601	0.1202	0.0386357142857	0.0	0	0.0601	0	0	0	0	0.225375	0	0.1202	0.00546363636364	0.045075	0	0	0	0.0	0	0	0.3606	0.09015	0
(u'm',)	0.0350583333333	0	0.0	0.0245408333333	0.02629375	0.0	0.385641666667	0.9991625	0	0.525875	0.525875	0.0986015625	0	0.0116861111111	0	0.04207	0.4207	0.23664375	0.0	0.0	0	0	0.6836375	0	0	0	0	0.140233333333	0.0525875	0.1577625	0	0.105175	0.0	0	0	0	1	0.315525	0.0
(u'n',)	0.2479125	0.099165	0	1	0.0708321428571	0.0	1	1	1	0.495825	1	0	0	0	0.165275	0.99165	0	1	0.0	0	0	1	1	0	0	1	0	0	0	1	0	0.0381403846154	0	0	0	0	1	1	0.0
(u'ng',)	0	0	0	0	0	0	0	0.7136875	0	0	0.15025	1	0	0	0	0.0166944444444	0	0.1126875	0	0	0.0601	0	0	0	0	0	0	0	0	0.075125	0	0.0250416666667	0	0	0	0	0.45075	0	0
(u'ow',)	0	0	0	1	0	0.0	0	0	0	0	0.826375	0	0	0	0.165275	0.033055	0	1	0	0	0.0550916666667	0.5784625	1	0.04131875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'r',)	0	0	0.0	0.4207	0	0.0	0.0440733333333	0.0671705882353	0	0.100166666667	0.3005	0.9015	0	0.0601	0.015025	0.0601	0.160266666667	0.27045	0.0	0	0.0801333333333	0	0.195325	0.015025	0	0	0	0.2404	0.03005	0.0601	0	0.03005	0	0.0	0.0	0	0.3606	0.154542857143	0
(u's',)	0.45075	0.45075	0.0	0.525875	0.225375	0.0	1	1	0	0	1	1	0	0	0.1126875	0.075125	0	1	0.0	0	0.128785714286	0.39440625	0	0.1126875	0	1	0.0	0.45075	0.45075	0.135225	0	0.0321964285714	0	0	0.0	0	1	1	0
(u'sh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0.6611	0.6611	0.0	0.385641666667	0.165275	0.0	1	1	0	0.33055	0.550916666667	1	0.0	0.165275	0	0.165275	1	1	0.0	0	1	0.33055	1	0.06611	0	1	0	1	0.0826375	0.0341948275862	0	0.110183333333	0.0	0	0.0	0	0.566657142857	0.849985714286	0
(u'th',)	0.09015	0	0	0.315525	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.10141875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.0515142857143	0.1803	0	0	0	0.0	0	1	0.0772714285714	0.3005	0.45075	0	0	0	0	0.1803	0.4808	0.81135	0.0	0	0.7212	0.63105	0	0.1803	0	0	0	0.1803	0.3606	0.0676125	0	0.1803	0	0	0	0	0.43272	0	0.0
(u'v',)	0	0	0	0	0	0.0	0	0	0	0	0.0250416666667	0.075125	0.0	0	0	0.03005	0	0.135225	0	0	0	0	0	0	0	0	0	0	0	0.01126875	0	0	0	0	0	0	0	0.0676125	0.0
(u'w',)	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0	0.45075	0	0	0	0.0	0	1	0.676125	0	0.45075	1	0	0	0.225375	0	0	0.289767857143	0.0	0	0	1	1	0.225375	0	0	0	0	0	0.225375	0	0	0	0	0	0.0	1	0	0
