mergeout,doc,corpus,dir.path,child.age,age_check,type,,,,,,,,
Bates28,Bates/will28,Bates,Bates/Free28,2;4.0,NA,merge_age,,,,,,,,
Bates28,Bates/zeke28,Bates,Bates/Free28,2;4.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/alice1,Bernstein,Bernstein/Children/Alice,1;1.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/kay1,Bernstein,Bernstein/Children/Kay,1;1.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/alice2,Bernstein,Bernstein/Children/Alice,1;3.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/alice3,Bernstein,Bernstein/Children/Alice,1;5.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/anne1,Bernstein,Bernstein/Children/Anne,1;5.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/dale1,Bernstein,Bernstein/Children/Dale,1;5.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/amelia1,Bernstein,Bernstein/Children/Amelia,1;6.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/amelia3,Bernstein,Bernstein/Children/Amelia,1;6.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/kay3,Bernstein,Bernstein/Children/Kay,1;6.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/dale2,Bernstein,Bernstein/Children/Dale,1;7.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/lena1,Bernstein,Bernstein/Children/Lena,1;7.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/amelia2,Bernstein,Bernstein/Children/Amelia,1;8.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/anne2,Bernstein,Bernstein/Children/Anne,1;8.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/anne3a,Bernstein,Bernstein/Children/Anne,1;10.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/lena2,Bernstein,Bernstein/Children/Lena,1;10.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/gail2,Bernstein,Bernstein/Children/Gail,1;11.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/cindy1,Bernstein,Bernstein/Children/Cindy,2;0.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/cindy3,Bernstein,Bernstein/Children/Cindy,2;0.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/lena3,Bernstein,Bernstein/Children/Lena,2;0.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/gail3,Bernstein,Bernstein/Children/Gail,2;1.0,NA,merge_age,,,,,,,,
Bernstein,Bernstein/kay2,Bernstein,Bernstein/Children/Kay,2;3.10,NA,merge_age,,,,,,,,
Brent_c1,Brent/c1-0902,Brent,Brent/c1,0;9.02,yes,merge_pnt_age,,,,,,,,
Brent_c1,Brent/c1-0917,Brent,Brent/c1,0;9.17,yes,merge_pnt_age,,,,,,,,
Brent_c1,Brent/c1-0930,Brent,Brent/c1,0;9.30,yes,merge_pnt_age,,,,,,,,
Brent_c1,Brent/c1-1014,Brent,Brent/c1,0;10.14,yes,merge_pnt_age,,,,,,,,
Brent_c1,Brent/c1-1027,Brent,Brent/c1,0;10.27,yes,merge_pnt_age,,,,,,,,
Brent_c1,Brent/c1-1129,Brent,Brent/c1,0;11.29,yes,merge_pnt_age,,,,,,,,
Brent_c1,Brent/c1-1207,Brent,Brent/c1,1;0.07,yes,merge_pnt_age,,,,,,,,
Brent_c1,Brent/c1-1217,Brent,Brent/c1,1;0.17,yes,merge_pnt_age,,,,,,,,
