	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'jh',)	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
(u'k',)	0.2532	0.0535615384615	0.0180857142857	0.0	0.0	0.00301428571429	0	0.1266	0	0.0633	0.3165	0.22155	0.0	0.03165	0	0	0	0.1186875	0.2532	0	0	0.047475	0	0	0	0	0	0	0.2532	0.07596	0	0.0211	0	0.0	0	0	0.66465	0.2743	0
(u'l',)	1	1	0.5908	0.0	0	0.0984666666667	0.262577777778	0.1477	0	0.2954	0	0.344633333333	0.0	0.0492333333333	0.5908	1	0.8862	0.8862	0.196933333333	0	0	0	0.22155	1	0	0.689266666667	0	0.11816	0.5908	0	0.2954	0	0	0.0	0.51695	0	1	0.698218181818	0.0
(u'm',)	0.309466666667	0.51062	0.2321	0.0	0.0	0	0.4642	0.4642	0	0.6963	0	0.32494	0.0	0.0244315789474	0	0.386833333333	0	1	0.309466666667	0	0.4642	0	0	0.4642	0	0.541566666667	0	0.4642	0.309466666667	1	0	0.309466666667	0	0	0	0	1	1	0.0
(u'n',)	0.2532	0.97482	0.22155	0	0.0	0.02769375	1	0.8862	0.0	0.0402818181818	1	1	0	0	0	1	0.26586	1	0.196933333333	0.0	0	0	0.4431	0	0	0.775425	0	0	0	0	0	0.08862	0	0	1	0	1	1	0.0
(u'ng',)	0.9284	0	0	0	0	0.11605	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0.2321	0	0	0	0	0	0	0	0.9284	0	0	0.9284	0	0	0	0	1	0	0
(u'ow',)	0	1	0.13715	0	0.0	0.068575	0	0.2743	0	0	0	0	0	0	0	0	0	1	0	0	0.10972	0.8229	0	0.313485714286	0	0	0	0.2743	1	0.32916	0.2743	1	0	0	0	0.0	1	1	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0844	0	0	0	0	0.1688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0.1688	0	0	0.0	0	0.0422	0	0	0	0	1	0	0.0	0	0.3376	0	0	0.3165	0.0482285714286	0	0	0.0844	0	0	0	0	0	0	0.3376	0.1266	0	0.3376	0	0.0	0	0	0	1	0
(u'r',)	0.2954	0	0.0492333333333	0.0	0.0	0.036925	0.1477	0.1477	0	0.036925	0	0.0939909090909	0	0.036925	0	0.36925	0.4431	0.184625	0.0422	0	0.2954	0.4431	0.4431	0.393866666667	0	1	0	0.2954	0.196933333333	0.4431	0	0.0984666666667	0	0	0.344633333333	0	0.51695	0.96005	0.0
(u's',)	1	1	0.2743	0	0	0.0144368421053	0	0.5486	0	0.8229	1	0.640033333333	0.0	0.5486	0	0.2743	0.2743	1	0.21944	0	0.2743	0.5486	0.41145	0	0	1	0	0.182866666667	0.2743	0.41145	0	0.0378344827586	0	0	0	0.0	0.96005	1	0
(u'sh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0
(u't',)	0.262577777778	1	0.1477	0.0	0.0	0.01477	0.94528	0.393866666667	0	0.161127272727	1	1	0.0	0	0.393866666667	0	0.35448	0.211	0.47264	0	0.196933333333	0.5908	0.35448	1	0	1	0	0.2954	0.112533333333	0.107418181818	0.5908	0.47264	0	0.0	0.459511111111	0.0	1	1	0
(u'th',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.2532	1	0	0	0.0	0.1266	0	0	0	0.2532	0	0	0	0	0	1	0.3798	1	1	0	0.1688	0.30384	0.1899	1	0	0.4431	0	0.02532	0	0.3798	0	0.5064	0	0	0	0	0.3798	1	0.0
(u'v',)	0	0	0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0	0
(u'w',)	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0.422	1	0	0	0	0.0191818181818	0	0.422	0	0	0.703333333333	0	0	0	0.844	0	0.3165	1	0	0	0	0	0.633	0.844	0	0	0	0	0	0.2532	0	0.281333333333	0	0	0	0	0	1	0
