Freq	Type
1	warmer
1	warm
1	wonder
1	van
1	twelve
1	toothies
1	toaster
1	teacher
1	tippietoe
1	through
1	throat
1	throwing
1	things
1	think
1	thigh
1	thumb
1	thanks
1	tape
1	taking
1	turn
1	tighter
1	tyrese
1	tires
1	tying
1	ty
1	town
1	talk
1	tubbie
1	sweet
1	swing
1	swimming
1	sweatshirt
1	sweater
1	soups
1	soup
1	strong
1	sticks
1	stay
1	step
1	star
1	soapy
1	sneezed
1	snack
1	sleepies
1	squeaked
1	scarf
1	sitting
1	sit
1	sisters
1	sip
1	shoestrings
1	shoelaces
1	sure
1	should
1	shoulder
1	showing
1	she
1	shame
1	shaking
1	shelf
1	shovels
1	shopping
1	same
1	safety
1	safe
1	said
1	softball
1	summer
1	sucking
1	sudsy
1	suds
1	sudsies
1	sandals
1	sorry
1	socksies
1	sockies
1	roosters
1	rooms
1	roo
1	roll
1	road
1	raining
1	radio
1	riding
1	remote
1	rugs
1	rag
1	rabbit
1	pool
1	pooh
1	pretties
1	pretzels
1	propeller
1	produced
1	place
1	plops
1	plop
1	peter
1	pigs
1	pail
1	pages
1	person
1	pedals
1	pattycake
1	passenger
1	pant
1	pots
1	pottie
1	only
1	noises
1	knees
1	names
1	name
1	next
1	nine
1	not
1	move
1	microwave
1	many
1	much
1	master
1	lou
1	lips
1	lay
1	letters
1	liking
1	longer
1	lambs
1	laughing
1	cutie
1	crinkly
1	crazy
1	crowd
1	crunchy
1	cracker
1	comb
1	clip
1	clap
1	kicking
1	kid
1	container
1	computer
1	cows
1	couch
1	carrot
1	calf
1	caught
1	joseph
1	just
1	jammies
1	jacket
1	jar
1	johns
1	john
1	who
1	hood
1	hope
1	hold
1	heat
1	herself
1	hairie
1	how
1	hat
1	happen
1	half
1	holly
1	hollering
1	goosie
1	groceries
1	great
1	grape
1	grandma
1	gram
1	glasses
1	giving
1	girla
1	got
1	footsies
1	frontsies
1	froggie
1	flip
1	flys
1	flying
1	flaps
1	feels
1	feeling
1	feel
1	finished
1	fixed
1	fixes
1	faces
1	further
1	fair
1	fell
1	fussings
1	fast
1	fan
1	family
1	farmer
1	eight
1	everything
1	ever
1	envelopes
1	n
1	doopsie
1	drinks
1	dry
1	dish
1	dig
1	different
1	dare
1	dideys
1	doggies
1	dog
1	w
1	dolls
1	cheeks
1	cheek
1	chinnie
1	chin
1	chick
1	chirping
1	chairs
1	chugga
1	boops
1	boomsie
1	broken
1	brave
1	breaking
1	bright
1	blankets
1	black
1	blocks
1	before
1	beef
1	be
1	busy
1	been
1	billy
1	big
1	basement
1	bay
1	birds
1	birdies
1	bird
1	betty
1	bet
1	best
1	bears
1	bikes
1	buster
1	bambis
1	backie
1	bottoms
1	barking
1	bar
1	body
1	baba
1	i'm
1	into
1	inside
1	undressed
1	exactly
1	advises
1	owl
1	oven
1	ugh
1	at
1	apples
1	acting
1	actually
1	abc
1	arms
1	ahhah
