	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'k',)	0.2562	0.05124	0.0	0.0915	0	0.0	0	0	0.0	0	0.416325	0.0	0	0.0	0	0	1	0.19215	0.0	0	0	0.20496	0	1	0	1	0	0.6405	0.19215	0.6405	0.8967	0	0	0.0	0	0	1	0.7259	0
(u'l',)	0	0.1098	0.0	0	0.0	0.0	0.3294	0.3294	0	0.1647	0	0.0	0	0	0.1647	0.4941	1	0.019764	0.0	0	0.41175	0.188228571429	0	0	0	1	0	0.41175	0.09882	0.8235	0	0	0	0.0	0.0	0	1	1	0.0
(u'm',)	0.0122	0	0.0	0	0.0	0.0	0.0299454545455	0.1098	0	0	0	0	0	0.0	0	0.1647	0	0.3294	0.0	0	0	0	0	0	0	0	0	0	0	0.13725	0	0	0.0	0	0	0	0	0.9333	0
(u'n',)	0.122	0.0332727272727	0	0	0.0	0.0	1	0	0	0.0343125	0.297375	0	0	0.0	0	0	1	0.549	0.0	0	0.915	0.0542222222222	0.732	0	0	0.172833333333	0	0	0	0.4575	1	0.1029375	0.0	0	0.0	1	0	0.77775	0.0
(u'ng',)	0.0366	0	0	0	0	0	0.2196	0	0	0	0.2379	0	0	0	0.00915	0	0	0.0732	0	0	0.061	0	0	0.2928	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6222	0.0
(u'ow',)	0	0.1464	0	0	0	0.0	0.4392	0	0	0	0.4758	0	0.0	0	0	0.2196	0.5856	0.2196	0	0.0	0.0406666666667	0.2928	0.0976	0.1952	0	0	0	0	0	0	0	0.3294	0	0	0.0	0.2196	0.62952	0.24888	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0.0732	0.0366	0	0	0	0.0	0.1098	0	0	0	0.2379	0.0	0	0	0.0366	0	0	0.0549	0.0	0	0	0	0	0	0	0	0	0	0.00844615384615	0.04575	0	0	0	0.0	0	0	0	0.3111	0
(u'r',)	0.549	0.0366	0.0	1	0	0.0	0.13725	0.8235	0	0	0.509785714286	0.0	0	0	0.2745	0.1029375	0.549	0.1029375	0.0	0	0.343125	1	0	0.549	0	1	0	0.4575	0	0.343125	0.2745	1	0	0	0	0	1	1	0.0
(u's',)	0.2928	0	0.0	0.366	0	0.0	0	0.8784	0	0.4392	0.271885714286	0.0	0	0.0	0.1464	0.4392	1	0.0976	0.0	0.0	0	1	0.2928	0.2928	0	1	0.0	0.183	0.2196	0.104571428571	0	0.08784	0.0	0	0.0	0	1	0.8296	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u't',)	0.366	0.488	0.0	1	0.0	0.0	1	1	0	0.366	1	0.0	0.0	0.0	0.183	0.366	1	0.732	0.0	0	1	1	0.1952	0	0	0	0	0	0.4392	0.0831818181818	1	0.8235	0.0	0	0.0	1	0	1	0.0
(u'th',)	0	0	0	0	0	0.0	0	0	0	0.02745	0	0	0	0	0	0	0	0.0549	0.0	0	0	0	0	0.4392	0	0	0	0	0	0	0	0.123525	0	0	0	0	1	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.1098	0	0.0	0.8235	0	0	0	0	0	0.1647	1	0	0	0	0	0.123525	1	0.4941	0	0	0.41175	0.4392	0	0	0	1	0	0.2745	0	0.1029375	0.57645	0.24705	0	0	0	0	1	1	0.0
(u'v',)	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0
(u'w',)	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0.24705	0.4941	0	1	0	0.0	1	1	0	0.74115	0.64233	0	0	0	0.1647	1	1	0.423514285714	0.0	0	1	0	0.24705	1	0	1	0	0	1	1	1	1	0	0	0	0.9882	0	1	0
