	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'er',)	0.0	0	0	0	0	0.11928	1	0	0.0	0.2982	1	0.497	0	0	0.0	0.0662666666667	0.994	0.2982	0	0.3976	0	0.994	0.994	0.994	0	0.9443	0.3976	0	0.11928	0	0.0994	0	0	0	0.0	1	1	0.0	0
(u'ey',)	0.0	0	0	0	0	0.9372	0	0.104133333333	0.0	0	0	0	0	0	0	0.06248	0.781	1	0	0	0.0446285714286	1	0.781	0.520666666667	0	0	0.24992	0	0.9372	0.6248	0.104133333333	0	0	0	0.0	1	1	0	0
(u'f',)	0.0	0.189333333333	0.0	0.0071	0	0.1704	0.0892571428571	0	0	0	0.2698	0.284	0.0	0	0	0	0.284	0.06816	0	0	0	0.284	0	0	0	1	0	0.0284	0	0	0.0852	0	0	0.0142	0	0.6248	1	0	0
(u'g',)	0.0	0	0	0	0	0.0852	0	0	0	0.1704	0	0.01775	0.0	0.0426	0	0.0284	0	0	0	0	0	0	0	0	0	0.06745	0	0.01136	0.0568	0	0	0	0.0	0	0	0	0.302933333333	0.0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0
(u'iy',)	0	0.662666666667	0	0	0	0.3976	1	0	0.0	0.3408	1	0	0	0	0.0	0.07952	0.3976	0.3408	0	0.265066666667	0.0361454545455	1	0.994	0.994	0	1	1	0.132533333333	0.23856	0	0.0662666666667	0	0	0	0.0	0.728933333333	1	0.0	0
(u'jh',)	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'k',)	0.0	0.119578947368	0.0	0.0568	0.2272	0.1136	1	0.1136	0.0	1	0.43168	0	0.0	0.04544	0.0	0.2272	1	0.194742857143	0.0	0	0	0	0	1	0	1	0.4544	0.4544	0.06816	0.151466666667	0.0619636363636	0	0.0	0	0	0.833066666667	1	0	0
(u'l',)	0	0.497	0.0	0.0994	0.0994	0.2982	0.364466666667	0.0662666666667	0	0.1988	1	0.062125	0.0	0.0662666666667	0.0	0.1988	0	0.1491	0.0	0	0.1988	0	0.331333333333	0	0	0	0.15904	0.1988	0.5964	0	0.5964	0	0.0	0.0662666666667	0	1	1	0.0	0
(u'm',)	0.0	0.71	0.0	0.142	0	0.182571428571	1	0.1065	0	0.852	1	0.152142857143	0.0	0.2556	0.0	0.0852	1	1	0.0	0	0.213	1	1	1	0	1	0.568	0	0.852	0	0.3195	1	0	0	0	1	1	0.0	0
(u'n',)	0.0	0.497	0	0.3976	0.1988	0.0662666666667	1	0	0.0	0.0568	0.503626666667	0.994	0.0	1	0.0	0.3976	0.662666666667	0.5964	0.0	0.265066666667	0.3976	1	0.2485	0	0	1	0	0.265066666667	0.47712	0	0.0265066666667	0	0	0	0	1	1	0.0	0
(u'ng',)	0.0	0	0.0	0	0.1988	0.1988	0	0.1988	0	1	1	0	0	0	0	0.0994	0	0.5964	0	0	0.00994	0	0.994	0.994	0	0	0	0.3976	1	0	0.0994	0	0	0	0	0	1	0.0	0
(u'ow',)	0	0	0.0	0	0	0.2556	1	0	0	1	0.5396	0	0	0	0	0	0.284	0.3408	0	0	0.01136	0.852	0.213	0.0473333333333	0	0	0	0	1	0.3408	0.0852	0	0	0	0	0.74976	1	0.0	0
(u'p',)	0.0	1	0.0	0.3692	0	0.2769	1	0	0	0	0	0.923	0.0	1	0.0	0	0	1	0.0	0	0.3692	0.307666666667	0	0	0	0	0	0.3692	0.44304	0	0.3692	0	0.0	0	0	1	1	0	0
(u'r',)	0.0	0.426	0.0	0	0.05112	0.0852	0.2556	0.1278	0	0.3834	1	0.116181818182	0	0.15336	0.0	0.1278	0.639	0.7668	0.0	0.5112	0.0639	0	1	0.639	0	1	0.3408	0.1704	0.5112	0.5112	0.0852	0.1917	0	0.1278	0	1	1	0.0	0
(u's',)	0.0	0.568	0.0	0.0142	0	0.01704	0.833066666667	0.0378666666667	0	0.2272	0.308342857143	0.0436923076923	0	0.3408	0.0	0.0378666666667	0.142	0.06816	0.0	0	0.0284	0.568	0.142	0.568	0	0.239822222222	0.0649142857143	0.1136	0.0852	0.2272	0.01136	0	0	0	0	0.6248	0	0	0
(u'sh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0
(u't',)	0.0	0.71	0.0	0.1065	0	0.0393230769231	1	0.121714285714	0	0.730285714286	0.952235294118	0.5325	0.0	0.5112	0.0	0.284	0.304285714286	0.284	0.0	1	0.426	1	1	1	0	1	1	0.189333333333	0.11888372093	0.852	0.2556	1	0	0.142	0	1	1	0	0
(u'th',)	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0.0	1	0	0	0	0.4686	0	0	0	0.133885714286	0.989266666667	0	0	0	0	0.1562	0.19525	1	0	0	0.0520666666667	1	0.781	0.520666666667	0	1	0.24992	0.3124	0.6248	0	0.4686	0.3124	0	0	0.0	0.528676923077	1	0.0	0
(u'v',)	0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0
(u'w',)	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'z',)	0.0	1	0	0	0.3692	0.1846	0	0.07384	0	1	1	1	0	1	0.0	0.0923	0.3692	0.7384	0	0.7384	0.0615333333333	0	0.923	0.615333333333	0	0	0.492266666667	0.0820444444444	0.7384	0	0.3692	1	0	0	0	1	1	0	0
(u'zh',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
